No,Sun 5% (MW),Sun 10% (MW),Sun 15% (MW)
99,32.5,65,70.5
100,33,66,87.75
101,29.5,59,97.5
102,23.5,47,99
103,29.25,58.5,88.5
104,32.5,65,70.5
105,33,66,87.75
106,29.5,59,97.5
107,23.5,47,99
108,29.25,58.5,88.5
109,32.5,65,70.5
110,33,66,87.75
111,29.5,59,97.5
112,23.5,47,99
113,29.25,58.5,88.5
114,32.5,65,70.5
115,33,66,87.75
116,29.5,59,97.5
117,23.5,47,99
118,29.25,58.5,88.5
119,32.5,65,70.5
120,33,66,87.75
121,29.5,59,97.5
122,23.5,47,99
123,29.25,58.5,88.5
124,32.5,65,70.5
125,33,66,87.75
126,29.5,59,97.5
127,23.5,47,99
128,29.25,58.5,88.5
129,32.5,65,70.5
130,33,66,87.75
131,29.5,59,97.5
132,23.5,47,99
133,29.25,58.5,88.5
134,32.5,65,70.5
135,33,66,87.75
136,29.5,59,97.5
137,23.5,47,99
138,29.25,58.5,88.5
139,32.5,65,70.5
140,33,66,87.75
141,29.5,59,97.5
142,23.5,47,99
143,29.25,58.5,88.5
144,32.5,65,70.5
145,33,66,87.75
146,29.5,59,97.5
147,23.5,47,99
148,29.25,58.5,88.5
149,32.5,65,70.5
150,33,66,87.75
151,29.5,59,97.5
152,23.5,47,99
153,29.25,58.5,88.5
154,32.5,65,70.5
155,33,66,87.75
156,29.5,59,97.5
157,23.5,47,99
158,29.25,58.5,88.5
159,32.5,65,70.5
160,33,66,87.75
161,29.5,59,97.5
162,23.5,47,99
163,29.25,58.5,88.5
164,32.5,65,70.5
165,33,66,87.75
166,29.5,59,97.5
167,23.5,47,99
168,29.25,58.5,88.5
169,32.5,65,70.5
170,33,66,87.75
171,29.5,59,97.5
172,23.5,47,99
173,29.25,58.5,88.5
174,32.5,65,70.5
175,33,66,87.75
176,29.5,59,97.5
177,23.5,47,99
178,29.25,58.5,88.5
179,32.5,65,70.5
180,33,66,87.75
181,29.5,59,97.5
182,23.5,47,99
183,29.25,58.5,88.5
184,32.5,65,70.5
185,33,66,87.75
186,29.5,59,97.5
187,23.5,47,99
188,29.25,58.5,88.5
189,32.5,65,70.5
190,33,66,87.75
191,29.5,59,97.5
192,23.5,47,99
193,29.25,58.5,88.5
194,32.5,65,70.5
195,33,66,87.75
196,29.5,59,97.5
197,23.5,47,99
198,29.25,58.5,88.5
199,32.5,65,70.5
200,33,66,87.75
201,29.5,59,97.5
202,23.5,47,99
203,29.25,58.5,88.5
204,32.5,65,70.5
205,33,66,87.75
206,29.5,59,97.5
207,23.5,47,99
208,29.25,58.5,88.5
209,32.5,65,70.5
210,33,66,87.75
211,29.5,59,97.5
212,23.5,47,99
213,29.25,58.5,88.5
214,32.5,65,70.5
215,33,66,87.75
216,29.5,59,97.5
217,23.5,47,99
218,29.25,58.5,88.5
219,32.5,65,70.5
220,33,66,87.75
221,29.5,59,97.5
222,23.5,47,99
223,29.25,58.5,88.5
224,32.5,65,70.5
225,33,66,87.75
226,29.5,59,97.5
227,23.5,47,99
228,29.25,58.5,88.5
229,32.5,65,70.5
230,33,66,87.75
231,29.5,59,97.5
232,23.5,47,99
233,29.25,58.5,88.5
234,32.5,65,70.5
235,33,66,87.75
236,29.5,59,97.5
237,23.5,47,99
238,29.25,58.5,88.5
239,32.5,65,70.5
240,33,66,87.75
241,29.5,59,97.5
242,23.5,47,99
243,29.25,58.5,88.5
244,32.5,65,70.5
245,33,66,87.75
246,29.5,59,97.5
247,23.5,47,99
248,29.25,58.5,88.5
249,32.5,65,70.5
250,33,66,87.75
251,29.5,59,97.5
252,23.5,47,99
253,29.25,58.5,88.5
254,32.5,65,70.5
255,33,66,87.75
256,29.5,59,97.5
257,23.5,47,99
258,29.25,58.5,88.5
259,32.5,65,70.5
260,33,66,87.75
261,29.5,59,97.5
262,23.5,47,99
263,29.25,58.5,88.5
264,32.5,65,70.5
265,33,66,87.75
266,29.5,59,97.5
267,23.5,47,99
268,29.25,58.5,88.5
269,32.5,65,70.5
270,33,66,87.75
271,29.5,59,97.5
272,23.5,47,99
273,29.25,58.5,88.5
274,32.5,65,70.5
275,33,66,87.75
276,29.5,59,97.5
277,23.5,47,99
278,29.25,58.5,88.5
279,32.5,65,70.5
280,33,66,87.75
281,29.5,59,97.5
282,23.5,47,99
283,29.25,58.5,88.5
284,32.5,65,70.5
285,33,66,87.75
286,29.5,59,97.5
287,23.5,47,99
288,29.25,58.5,88.5
289,32.5,65,70.5
290,33,66,87.75
291,29.5,59,97.5
292,23.5,47,99
293,29.25,58.5,88.5
294,32.5,65,70.5
295,33,66,87.75
296,29.5,59,97.5
297,23.5,47,99
298,29.25,58.5,88.5
299,32.5,65,70.5
300,33,66,87.75
301,29.5,59,97.5
302,23.5,47,99
303,29.25,58.5,88.5
304,32.5,65,70.5
305,33,66,87.75
306,29.5,59,97.5
307,23.5,47,99
308,29.25,58.5,88.5
309,32.5,65,70.5
310,33,66,87.75
311,29.5,59,97.5
312,23.5,47,99
313,29.25,58.5,88.5
314,32.5,65,70.5
315,33,66,87.75
316,29.5,59,97.5
317,23.5,47,99
318,29.25,58.5,88.5
319,32.5,65,70.5
320,33,66,87.75
321,29.5,59,97.5
322,23.5,47,99
323,29.25,58.5,88.5
324,32.5,65,70.5
325,33,66,87.75
326,29.5,59,97.5
327,23.5,47,99
328,29.25,58.5,88.5
329,32.5,65,70.5
330,33,66,87.75
331,29.5,59,97.5
332,23.5,47,99
333,29.25,58.5,88.5
334,32.5,65,70.5
335,33,66,87.75
336,29.5,59,97.5
337,23.5,47,99
338,29.25,58.5,88.5
339,32.5,65,70.5
340,33,66,87.75
341,29.5,59,97.5
342,23.5,47,99
343,29.25,58.5,88.5
344,32.5,65,70.5
345,33,66,87.75
346,29.5,59,97.5
347,23.5,47,99
348,29.25,58.5,88.5
349,32.5,65,70.5
350,33,66,87.75
351,29.5,59,97.5
352,23.5,47,99
353,29.25,58.5,88.5
354,32.5,65,70.5
355,33,66,87.75
356,29.5,59,97.5
357,23.5,47,99
358,29.25,58.5,88.5
359,32.5,65,70.5
360,33,66,87.75
361,29.5,59,97.5
362,23.5,47,99
363,29.25,58.5,88.5
364,32.5,65,70.5
365,33,66,87.75
366,29.5,59,97.5
367,23.5,47,99
368,29.25,58.5,88.5
369,32.5,65,70.5
370,33,66,87.75
371,29.5,59,97.5
372,23.5,47,99
373,29.25,58.5,88.5
374,32.5,65,70.5
375,33,66,87.75
376,29.5,59,97.5
377,23.5,47,99
378,29.25,58.5,88.5
379,32.5,65,70.5
380,33,66,87.75
381,29.5,59,97.5
382,23.5,47,99
383,29.25,58.5,88.5
384,32.5,65,70.5
385,33,66,87.75
386,29.5,59,97.5
387,23.5,47,99
388,29.25,58.5,88.5
389,32.5,65,70.5
390,33,66,87.75
391,29.5,59,97.5
392,23.5,47,99
393,29.25,58.5,88.5
394,32.5,65,70.5
395,33,66,87.75
396,29.5,59,97.5
397,23.5,47,99
398,29.25,58.5,88.5
399,32.5,65,70.5
400,33,66,87.75
401,29.5,59,97.5
402,23.5,47,99
403,29.25,58.5,88.5
404,32.5,65,70.5
405,33,66,87.75
406,29.5,59,97.5
407,23.5,47,99
408,29.25,58.5,88.5
409,32.5,65,70.5
410,33,66,87.75
411,29.5,59,97.5
412,23.5,47,99
413,29.25,58.5,88.5
414,32.5,65,70.5
415,33,66,87.75
416,29.5,59,97.5
417,23.5,47,99
418,29.25,58.5,88.5
419,32.5,65,70.5
420,33,66,87.75
421,29.5,59,97.5
422,23.5,47,99
423,29.25,58.5,88.5
424,32.5,65,70.5
425,33,66,87.75
426,29.5,59,97.5
427,23.5,47,99
428,29.25,58.5,88.5
429,32.5,65,70.5
430,33,66,87.75
431,29.5,59,97.5
432,23.5,47,99
433,29.25,58.5,88.5
434,32.5,65,70.5
435,33,66,87.75
436,29.5,59,97.5
437,23.5,47,99
438,29.25,58.5,88.5
439,32.5,65,70.5
440,33,66,87.75
441,29.5,59,97.5
442,23.5,47,99
443,29.25,58.5,88.5
444,32.5,65,70.5
445,33,66,87.75
446,29.5,59,97.5
447,23.5,47,99
448,29.25,58.5,88.5
449,32.5,65,70.5
450,33,66,87.75
451,29.5,59,97.5
452,23.5,47,99
453,29.25,58.5,88.5
454,32.5,65,70.5
455,33,66,87.75
456,29.5,59,97.5
457,23.5,47,99
458,29.25,58.5,88.5
459,32.5,65,70.5
460,33,66,87.75
461,29.5,59,97.5
462,23.5,47,99
463,29.25,58.5,88.5
464,32.5,65,70.5
465,33,66,87.75
466,29.5,59,97.5
467,23.5,47,99
468,29.25,58.5,88.5
469,32.5,65,70.5
470,33,66,87.75
471,29.5,59,97.5
472,23.5,47,99
473,29.25,58.5,88.5
474,32.5,65,70.5
475,33,66,87.75
476,29.5,59,97.5
477,23.5,47,99
478,29.25,58.5,88.5
479,32.5,65,70.5
480,33,66,87.75
481,29.5,59,97.5
482,23.5,47,99
483,29.25,58.5,88.5
484,32.5,65,70.5
485,33,66,87.75
486,29.5,59,97.5
487,23.5,47,99
488,29.25,58.5,88.5
489,32.5,65,70.5
490,33,66,87.75
491,29.5,59,97.5
492,23.5,47,99
493,29.25,58.5,88.5
494,32.5,65,70.5
495,33,66,87.75
496,29.5,59,97.5
497,23.5,47,99
498,29.25,58.5,88.5
499,32.5,65,70.5
500,33,66,87.75
501,29.5,59,97.5
502,23.5,47,99
503,29.25,58.5,88.5
504,32.5,65,70.5
505,33,66,87.75
506,29.5,59,97.5
507,23.5,47,99
508,29.25,58.5,88.5
509,32.5,65,70.5
510,33,66,87.75
511,29.5,59,97.5
512,23.5,47,99
513,29.25,58.5,88.5
514,32.5,65,70.5
515,33,66,87.75
516,29.5,59,97.5
517,23.5,47,99
518,29.25,58.5,88.5
519,32.5,65,70.5
520,33,66,87.75
521,29.5,59,97.5
522,23.5,47,99
523,29.25,58.5,88.5
524,32.5,65,70.5
525,33,66,87.75
526,29.5,59,97.5
527,23.5,47,99
528,29.25,58.5,88.5
529,32.5,65,70.5
530,33,66,87.75
531,29.5,59,97.5
532,23.5,47,99
533,29.25,58.5,88.5
534,32.5,65,70.5
535,33,66,87.75
536,29.5,59,97.5
537,23.5,47,99
538,29.25,58.5,88.5
539,32.5,65,70.5
540,33,66,87.75
541,29.5,59,97.5
542,23.5,47,99
543,29.25,58.5,88.5
544,32.5,65,70.5
545,33,66,87.75
546,29.5,59,97.5
547,23.5,47,99
548,29.25,58.5,88.5
549,32.5,65,70.5
550,33,66,87.75
551,29.5,59,97.5
552,23.5,47,99
553,29.25,58.5,88.5
554,32.5,65,70.5
555,33,66,87.75
556,29.5,59,97.5
557,23.5,47,99
558,29.25,58.5,88.5
559,32.5,65,70.5
560,33,66,87.75
561,29.5,59,97.5
562,23.5,47,99
563,29.25,58.5,88.5
564,32.5,65,70.5
565,33,66,87.75
566,29.5,59,97.5
567,23.5,47,99
568,29.25,58.5,88.5
569,32.5,65,70.5
570,33,66,87.75
571,29.5,59,97.5
572,23.5,47,99
573,29.25,58.5,88.5
574,32.5,65,70.5
575,33,66,87.75
576,29.5,59,97.5
577,23.5,47,99
578,29.25,58.5,88.5
579,32.5,65,70.5
580,33,66,87.75
581,29.5,59,97.5
582,23.5,47,99
583,29.25,58.5,88.5
584,32.5,65,70.5
585,33,66,87.75
586,29.5,59,97.5
587,23.5,47,99
588,29.25,58.5,88.5
589,32.5,65,70.5
590,33,66,87.75
591,29.5,59,97.5
592,23.5,47,99
593,29.25,58.5,88.5
594,32.5,65,70.5
595,33,66,87.75
596,29.5,59,97.5
597,23.5,47,99
598,29.25,58.5,88.5
599,32.5,65,70.5
600,33,66,87.75
601,29.5,59,97.5
602,23.5,47,99
603,29.25,58.5,88.5
604,32.5,65,70.5
605,33,66,87.75
606,29.5,59,97.5
607,23.5,47,99
608,29.25,58.5,88.5
609,32.5,65,70.5
610,33,66,87.75
611,29.5,59,97.5
612,23.5,47,99
613,29.25,58.5,88.5
614,32.5,65,70.5
615,33,66,87.75
616,29.5,59,97.5
617,23.5,47,99
618,29.25,58.5,88.5
619,32.5,65,70.5
620,33,66,87.75
621,29.5,59,97.5
622,23.5,47,99
623,29.25,58.5,88.5
624,32.5,65,70.5
625,33,66,87.75
626,29.5,59,97.5
627,23.5,47,99
628,29.25,58.5,88.5
629,32.5,65,70.5
630,33,66,87.75
631,29.5,59,97.5
632,23.5,47,99
633,29.25,58.5,88.5
634,32.5,65,70.5
635,33,66,87.75
636,29.5,59,97.5
637,23.5,47,99
638,29.25,58.5,88.5
639,32.5,65,70.5
640,33,66,87.75
641,29.5,59,97.5
642,23.5,47,99
643,29.25,58.5,88.5
644,32.5,65,70.5
645,33,66,87.75
646,29.5,59,97.5
647,23.5,47,99
648,29.25,58.5,88.5
649,32.5,65,70.5
650,33,66,87.75
651,29.5,59,97.5
652,23.5,47,99
653,29.25,58.5,88.5
654,32.5,65,70.5
655,33,66,87.75
656,29.5,59,97.5
657,23.5,47,99
658,29.25,58.5,88.5
659,32.5,65,70.5
660,33,66,87.75
661,29.5,59,97.5
662,23.5,47,99
663,29.25,58.5,88.5
664,32.5,65,70.5
665,33,66,87.75
666,29.5,59,97.5
667,23.5,47,99
668,29.25,58.5,88.5
669,32.5,65,70.5
670,33,66,87.75
671,29.5,59,97.5
672,23.5,47,99
673,29.25,58.5,88.5
674,32.5,65,70.5
675,33,66,87.75
676,29.5,59,97.5
677,23.5,47,99
678,29.25,58.5,88.5
679,32.5,65,70.5
680,33,66,87.75
681,29.5,59,97.5
682,23.5,47,99
683,29.25,58.5,88.5
684,32.5,65,70.5
685,33,66,87.75
686,29.5,59,97.5
687,23.5,47,99
688,29.25,58.5,88.5
689,32.5,65,70.5
690,33,66,87.75
691,29.5,59,97.5
692,23.5,47,99
693,29.25,58.5,88.5
694,32.5,65,70.5
695,33,66,87.75
696,29.5,59,97.5
697,23.5,47,99
698,29.25,58.5,88.5
699,32.5,65,70.5
700,33,66,87.75
701,29.5,59,97.5
702,23.5,47,99
703,29.25,58.5,88.5
704,32.5,65,70.5
705,33,66,87.75
706,29.5,59,97.5
707,23.5,47,99
708,29.25,58.5,88.5
709,32.5,65,70.5
710,33,66,87.75
711,29.5,59,97.5
712,23.5,47,99
713,29.25,58.5,88.5
714,32.5,65,70.5
715,33,66,87.75
716,29.5,59,97.5
717,23.5,47,99
718,29.25,58.5,88.5
719,32.5,65,70.5
720,33,66,87.75
721,29.5,59,97.5
722,23.5,47,99
723,29.25,58.5,88.5
724,32.5,65,70.5
725,33,66,87.75
726,29.5,59,97.5
727,23.5,47,99
728,29.25,58.5,88.5
729,32.5,65,70.5
730,33,66,87.75
731,29.5,59,97.5
732,23.5,47,99
733,29.25,58.5,88.5
734,32.5,65,70.5
735,33,66,87.75
736,29.5,59,97.5
737,23.5,47,99
738,29.25,58.5,88.5
739,32.5,65,70.5
740,33,66,87.75
741,29.5,59,97.5
742,23.5,47,99
743,29.25,58.5,88.5
744,32.5,65,70.5
745,33,66,87.75
746,29.5,59,97.5
747,23.5,47,99
748,29.25,58.5,88.5
749,32.5,65,70.5
750,33,66,87.75
751,29.5,59,97.5
752,23.5,47,99
753,29.25,58.5,88.5
754,32.5,65,70.5
755,33,66,87.75
756,29.5,59,97.5
757,23.5,47,99
758,29.25,58.5,88.5
759,32.5,65,70.5
760,33,66,87.75
761,29.5,59,97.5
762,23.5,47,99
763,29.25,58.5,88.5
764,32.5,65,70.5
765,33,66,87.75
766,29.5,59,97.5
767,23.5,47,99
768,29.25,58.5,88.5
769,32.5,65,70.5
770,33,66,87.75
771,29.5,59,97.5
772,23.5,47,99
773,29.25,58.5,88.5
774,32.5,65,70.5
775,33,66,87.75
776,29.5,59,97.5
777,23.5,47,99
778,29.25,58.5,88.5
779,32.5,65,70.5
780,33,66,87.75
781,29.5,59,97.5
782,23.5,47,99
783,29.25,58.5,88.5
784,32.5,65,70.5
785,33,66,87.75
786,29.5,59,97.5
787,23.5,47,99
788,29.25,58.5,88.5
789,32.5,65,70.5
790,33,66,87.75
791,29.5,59,97.5
792,23.5,47,99
793,29.25,58.5,88.5
794,32.5,65,70.5
795,33,66,87.75
796,29.5,59,97.5
797,23.5,47,99
798,29.25,58.5,88.5
799,32.5,65,70.5
800,33,66,87.75
801,29.5,59,97.5
802,23.5,47,99
803,29.25,58.5,88.5
804,32.5,65,70.5
805,33,66,87.75
806,29.5,59,97.5
807,23.5,47,99
808,29.25,58.5,88.5
809,32.5,65,70.5
810,33,66,87.75
811,29.5,59,97.5
812,23.5,47,99
813,29.25,58.5,88.5
814,32.5,65,70.5
815,33,66,87.75
816,29.5,59,97.5
817,23.5,47,99
818,29.25,58.5,88.5
819,32.5,65,70.5
820,33,66,87.75
821,29.5,59,97.5
822,23.5,47,99
823,29.25,58.5,88.5
824,32.5,65,70.5
825,33,66,87.75
826,29.5,59,97.5
827,23.5,47,99
828,29.25,58.5,88.5
829,32.5,65,70.5
830,33,66,87.75
831,29.5,59,97.5
832,23.5,47,99
833,29.25,58.5,88.5
834,32.5,65,70.5
835,33,66,87.75
836,29.5,59,97.5
837,23.5,47,99
838,29.25,58.5,88.5
839,32.5,65,70.5
840,33,66,87.75
841,29.5,59,97.5
842,23.5,47,99
843,29.25,58.5,88.5
844,32.5,65,70.5
845,33,66,87.75
846,29.5,59,97.5
847,23.5,47,99
848,29.25,58.5,88.5
849,32.5,65,70.5
850,33,66,87.75
851,29.5,59,97.5
852,23.5,47,99
853,29.25,58.5,88.5
854,32.5,65,70.5
855,33,66,87.75
856,29.5,59,97.5
857,23.5,47,99
858,29.25,58.5,88.5
859,32.5,65,70.5
860,33,66,87.75
861,29.5,59,97.5
862,23.5,47,99
863,29.25,58.5,88.5
864,32.5,65,70.5
865,33,66,87.75
866,29.5,59,97.5
867,23.5,47,99
868,29.25,58.5,88.5
869,32.5,65,70.5
870,33,66,87.75
871,29.5,59,97.5
872,23.5,47,99
873,29.25,58.5,88.5
874,32.5,65,70.5
875,33,66,87.75
876,29.5,59,97.5
877,23.5,47,99
878,29.25,58.5,88.5
879,32.5,65,70.5
880,33,66,87.75
881,29.5,59,97.5
882,23.5,47,99
883,29.25,58.5,88.5
884,32.5,65,70.5
885,33,66,87.75
886,29.5,59,97.5
887,23.5,47,99
888,29.25,58.5,88.5
889,32.5,65,70.5
890,33,66,87.75
891,29.5,59,97.5
892,23.5,47,99
893,29.25,58.5,88.5
894,32.5,65,70.5
895,33,66,87.75
896,29.5,59,97.5
897,23.5,47,99
898,29.25,58.5,88.5
899,32.5,65,70.5
900,33,66,87.75
901,29.5,59,97.5
902,23.5,47,99
903,29.25,58.5,88.5
904,32.5,65,70.5
905,33,66,87.75
906,29.5,59,97.5
907,23.5,47,99
908,29.25,58.5,88.5
909,32.5,65,70.5
910,33,66,87.75
911,29.5,59,97.5
912,23.5,47,99
913,29.25,58.5,88.5
914,32.5,65,70.5
915,33,66,87.75
916,29.5,59,97.5
917,23.5,47,99
918,29.25,58.5,88.5
919,32.5,65,70.5
920,33,66,87.75
921,29.5,59,97.5
922,23.5,47,99
923,29.25,58.5,88.5
924,32.5,65,70.5
925,33,66,87.75
926,29.5,59,97.5
927,23.5,47,99
928,29.25,58.5,88.5
929,32.5,65,70.5
930,33,66,87.75
931,29.5,59,97.5
932,23.5,47,99
933,29.25,58.5,88.5
934,32.5,65,70.5
935,33,66,87.75
936,29.5,59,97.5
937,23.5,47,99
938,29.25,58.5,88.5
939,32.5,65,70.5
940,33,66,87.75
941,29.5,59,97.5
942,23.5,47,99
943,29.25,58.5,88.5
944,32.5,65,70.5
945,33,66,87.75
946,29.5,59,97.5
947,23.5,47,99
948,29.25,58.5,88.5
949,32.5,65,70.5
950,33,66,87.75
951,29.5,59,97.5
952,23.5,47,99
953,29.25,58.5,88.5
954,32.5,65,70.5
955,33,66,87.75
956,29.5,59,97.5
957,23.5,47,99
958,29.25,58.5,88.5
959,32.5,65,70.5
960,33,66,87.75
961,29.5,59,97.5
962,23.5,47,99
963,29.25,58.5,88.5
964,32.5,65,70.5
965,33,66,87.75
966,29.5,59,97.5
967,23.5,47,99
968,29.25,58.5,88.5
969,32.5,65,70.5
970,33,66,87.75
971,29.5,59,97.5
972,23.5,47,99
973,29.25,58.5,88.5
974,32.5,65,70.5
975,33,66,87.75
976,29.5,59,97.5
977,23.5,47,99
978,29.25,58.5,88.5
979,32.5,65,70.5
980,33,66,87.75
981,29.5,59,97.5
982,23.5,47,99
983,29.25,58.5,88.5
984,32.5,65,70.5
985,33,66,87.75
986,29.5,59,97.5
987,23.5,47,99
988,29.25,58.5,88.5
989,32.5,65,70.5
990,33,66,87.75
991,29.5,59,97.5
992,23.5,47,99
993,29.25,58.5,88.5
994,32.5,65,70.5
995,33,66,87.75
996,29.5,59,97.5
997,23.5,47,99
998,29.25,58.5,88.5
999,32.5,65,70.5
1000,33,66,87.75
1001,29.5,59,97.5
1002,23.5,47,99
1003,29.25,58.5,88.5
1004,32.5,65,70.5
1005,33,66,87.75
1006,29.5,59,97.5
1007,23.5,47,99
1008,29.25,58.5,88.5
1009,32.5,65,70.5
1010,33,66,87.75
1011,29.5,59,97.5
1012,23.5,47,99
1013,29.25,58.5,88.5
1014,32.5,65,70.5
1015,33,66,87.75
1016,29.5,59,97.5
1017,23.5,47,99
1018,29.25,58.5,88.5
1019,32.5,65,70.5
1020,33,66,87.75
1021,29.5,59,97.5
1022,23.5,47,99
1023,29.25,58.5,88.5
1024,32.5,65,70.5
1025,33,66,87.75
1026,29.5,59,97.5
1027,23.5,47,99
1028,29.25,58.5,88.5
1029,32.5,65,70.5
1030,33,66,87.75
1031,29.5,59,97.5
1032,23.5,47,99
1033,29.25,58.5,88.5
1034,32.5,65,70.5
1035,33,66,87.75
1036,29.5,59,97.5
1037,23.5,47,99
1038,29.25,58.5,88.5
1039,32.5,65,70.5
1040,33,66,87.75
1041,29.5,59,97.5
1042,23.5,47,99
1043,29.25,58.5,88.5
1044,32.5,65,70.5
1045,33,66,87.75
1046,29.5,59,97.5
1047,23.5,47,99
1048,29.25,58.5,88.5
1049,32.5,65,70.5
1050,33,66,87.75
1051,29.5,59,97.5
1052,23.5,47,99
1053,29.25,58.5,88.5
1054,32.5,65,70.5
1055,33,66,87.75
1056,29.5,59,97.5
1057,23.5,47,99
1058,29.25,58.5,88.5
1059,32.5,65,70.5
1060,33,66,87.75
1061,29.5,59,97.5
1062,23.5,47,99
1063,29.25,58.5,88.5
1064,32.5,65,70.5
1065,33,66,87.75
1066,29.5,59,97.5
1067,23.5,47,99
1068,29.25,58.5,88.5
1069,32.5,65,70.5
1070,33,66,87.75
1071,29.5,59,97.5
1072,23.5,47,99
1073,29.25,58.5,88.5
1074,32.5,65,70.5
1075,33,66,87.75
1076,29.5,59,97.5
1077,23.5,47,99
1078,29.25,58.5,88.5
1079,32.5,65,70.5
1080,33,66,87.75
1081,29.5,59,97.5
1082,23.5,47,99
1083,29.25,58.5,88.5
1084,32.5,65,70.5
1085,33,66,87.75
1086,29.5,59,97.5
1087,23.5,47,99
1088,29.25,58.5,88.5
1089,32.5,65,70.5
1090,33,66,87.75
1091,29.5,59,97.5
1092,23.5,47,99
1093,29.25,58.5,88.5
1094,32.5,65,70.5
1095,33,66,87.75
1096,29.5,59,97.5
1097,23.5,47,99
1098,29.25,58.5,88.5
1099,32.5,65,70.5
1100,33,66,87.75
1101,29.5,59,97.5
1102,23.5,47,99
1103,29.25,58.5,88.5
1104,32.5,65,70.5
1105,33,66,87.75
1106,29.5,59,97.5
1107,23.5,47,99
1108,29.25,58.5,88.5
1109,32.5,65,70.5
1110,33,66,87.75
1111,29.5,59,97.5
1112,23.5,47,99
1113,29.25,58.5,88.5
1114,32.5,65,70.5
1115,33,66,87.75
1116,29.5,59,97.5
1117,23.5,47,99
1118,29.25,58.5,88.5
1119,32.5,65,70.5
1120,33,66,87.75
1121,29.5,59,97.5
1122,23.5,47,99
1123,29.25,58.5,88.5
1124,32.5,65,70.5
1125,33,66,87.75
1126,29.5,59,97.5
1127,23.5,47,99
1128,29.25,58.5,88.5
1129,32.5,65,70.5
1130,33,66,87.75
1131,29.5,59,97.5
1132,23.5,47,99
1133,29.25,58.5,88.5
1134,32.5,65,70.5
1135,33,66,87.75
1136,29.5,59,97.5
1137,23.5,47,99
1138,29.25,58.5,88.5
1139,32.5,65,70.5
1140,33,66,87.75
1141,29.5,59,97.5
1142,23.5,47,99
1143,29.25,58.5,88.5
1144,32.5,65,70.5
1145,33,66,87.75
1146,29.5,59,97.5
1147,23.5,47,99
1148,29.25,58.5,88.5
1149,32.5,65,70.5
1150,33,66,87.75
1151,29.5,59,97.5
1152,23.5,47,99
1153,29.25,58.5,88.5
1154,32.5,65,70.5
1155,33,66,87.75
1156,29.5,59,97.5
1157,23.5,47,99
1158,29.25,58.5,88.5
1159,32.5,65,70.5
1160,33,66,87.75
1161,29.5,59,97.5
1162,23.5,47,99
1163,29.25,58.5,88.5
1164,32.5,65,70.5
1165,33,66,87.75
1166,29.5,59,97.5
1167,23.5,47,99
1168,29.25,58.5,88.5
1169,32.5,65,70.5
1170,33,66,87.75
1171,29.5,59,97.5
1172,23.5,47,99
1173,29.25,58.5,88.5
1174,32.5,65,70.5
1175,33,66,87.75
1176,29.5,59,97.5
1177,23.5,47,99
1178,29.25,58.5,88.5
1179,32.5,65,70.5
1180,33,66,87.75
1181,29.5,59,97.5
1182,23.5,47,99
1183,29.25,58.5,88.5
1184,32.5,65,70.5
1185,33,66,87.75
